ID,Name,Name_EN,Tags,Services,Availability,Description,Alternates,Keywords,Warnings
ALLSKY_SFC_LW_DWN_MIN,Irradiancia descendente de onda larga en superficie con cielo total mínimo,All Sky Surface Longwave Downward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum downward thermal infrared irradiance under all sky conditions reaching a horizontal plane at the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from the Sky.,,,
ALLSKY_SFC_LW_DWN_SD,Irradiancia descendente de onda larga en superficie con cielo total desviación estándar,All Sky Surface Longwave Downward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of downward thermal infrared irradiance under all sky conditions reaching a horizontal plane at the surface of the earth. Also known as Horizontal Infrared Radiation Intensity from the Sky.,,,
ALLSKY_SFC_LW_UP,Irradiancia ascendente de onda larga en superficie con cielo total,All Sky Surface Longwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward thermal infrared irradiance under all sky conditions.,"Upwelling Longwave Radiation,Surface Emitted Thermal Radiation,Outgoing Surface Longwave Radiation,Terrestrial Surface Radiation","Upwelling Longwave Radiation,Surface Emitted Thermal Radiation,Outgoing Surface Longwave Radiation,Terrestrial Surface Radiation",
ALLSKY_SFC_LW_UP_HR,Irradiancia ascendente de onda larga en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Longwave Upward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_LW_UP_MAX,Irradiancia ascendente de onda larga en superficie con cielo total máximo,All Sky Surface Longwave Upward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum upward thermal infrared irradiance under all sky conditions.,,,
ALLSKY_SFC_LW_UP_MIN,Irradiancia ascendente de onda larga en superficie con cielo total mínimo,All Sky Surface Longwave Upward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum upward thermal infrared irradiance under all sky conditions.,,,
ALLSKY_SFC_LW_UP_SD,Irradiancia ascendente de onda larga en superficie con cielo total desviación estándar,All Sky Surface Longwave Upward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of upward thermal infrared irradiance under all sky conditions.,,,
ALLSKY_SFC_PAR_DIFF,PAR difusa de superficie con cielo total,All Sky Surface Diffuse PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Diffuse Photosynthetically Active Radiation,Scattered PAR,Diffuse Visible Radiation (400-700 nm)","Diffuse Photosynthetically Active Radiation,Scattered PAR,Diffuse Visible Radiation (400-700 nm),Solar",
ALLSKY_SFC_PAR_DIFF_HR,PAR difusa de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Diffuse PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_DIFF_MAX,PAR difusa de superficie con cielo total máximo,All Sky Surface Diffuse PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_DIFF_MIN,PAR difusa de superficie con cielo total mínimo,All Sky Surface Diffuse PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_DIFF_SD,PAR difusa de superficie con cielo total desviación estándar,All Sky Surface Diffuse PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of diffuse (scattered from original direct path by molecules or particles) Photosynthetically Active Radiation (PAR)solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_PAR_DIRH,PAR directa horizontal de superficie con cielo total,All Sky Surface Direct Horizontal PAR,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Direct Beam PAR (Horizontal),Direct Photosynthetically Active Radiation","Direct Beam PAR (Horizontal),Direct Photosynthetically Active Radiation,Solar",
ALLSKY_SFC_PAR_DIRH_HR,PAR directa horizontal de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Direct Horizontal PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_DIRH_MAX,PAR directa horizontal de superficie con cielo total máximo,All Sky Surface Direct Horizontal PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_DIRH_MIN,PAR directa horizontal de superficie con cielo total mínimo,All Sky Surface Direct Horizontal PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_DIRH_SD,PAR directa horizontal de superficie con cielo total desviación estándar,All Sky Surface Direct Horizontal PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of Photosynthetically Active Radiation (PAR) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_PAR_TOT,PAR total de superficie con cielo total,All Sky Surface Total PAR,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under all sky conditions.,"Photosynthetically Active Radiation (PAR),Global PAR,Total Visible Radiation (400-700 nm),Photosynthetic Irradiance","Photosynthetically Active Radiation (PAR),Global PAR,Total Visible Radiation (400-700 nm),Photosynthetic Irradiance,Solar,Solar Fluxes and Related",
ALLSKY_SFC_PAR_TOT_HR,PAR total de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Total PAR (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_PAR_TOT_MAX,PAR total de superficie con cielo total máximo,All Sky Surface Total PAR Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_TOT_MIN,PAR total de superficie con cielo total mínimo,All Sky Surface Total PAR Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_PAR_TOT_SD,PAR total de superficie con cielo total desviación estándar,All Sky Surface Total PAR Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of total (direct plus diffuse) Photosynthetically Active Radiation (PAR) incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_SW_DIFF,Irradiancia difusa de onda corta en superficie con cielo total,All Sky Surface Shortwave Diffuse Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation","Diffuse Horizontal Irradiance (DHI),Diffuse Sky Radiation,Diffuse Solar Radiation,Scattered Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DIFF_HR,Irradiancia difusa de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_HR_MAX,Irradiancia difusa máxima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Maximum All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_HR_MIN,Irradiancia difusa mínima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Minimum All Sky Surface Shortwave Diffuse Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIFF_MAX,Irradiancia difusa de onda corta en superficie con cielo total máximo,All Sky Surface Shortwave Diffuse Irradiance Maximum,"official,radiation","api,dav,aws","monthly,annual,climatology",The maximum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DIFF_MIN,Irradiancia difusa de onda corta en superficie con cielo total mínimo,All Sky Surface Shortwave Diffuse Irradiance Minimum,"official,radiation","api,dav,aws","monthly,annual,climatology",The minimum diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DIFF_SD,Irradiancia difusa de onda corta en superficie con cielo total desviación estándar,All Sky Surface Shortwave Diffuse Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of diffuse (scattered from original direct path by molecules or particles) solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_SW_DIRH,Irradiancia directa horizontal de onda corta en superficie con cielo total,All Sky Surface Shortwave Direct Horizontal Irradiance,"official,radiation","api,aws","hourly,daily,monthly,annual,climatology",The solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,"Direct Horizontal Irradiance,Beam Horizontal Irradiance,Direct Beam Irradiance (Horizontal)","Direct Horizontal Irradiance,Beam Horizontal Irradiance,Direct Beam Irradiance (Horizontal),Solar",
ALLSKY_SFC_SW_DIRH_HR,Irradiancia directa horizontal de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Shortwave Direct Horizontal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DIRH_MAX,Irradiancia directa horizontal de onda corta en superficie con cielo total máximo,All Sky Surface Shortwave Direct Horizontal Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_SW_DIRH_MIN,Irradiancia directa horizontal de onda corta en superficie con cielo total mínimo,All Sky Surface Shortwave Direct Horizontal Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,Solar,
ALLSKY_SFC_SW_DIRH_SD,Irradiancia directa horizontal de onda corta en superficie con cielo total desviación estándar,All Sky Surface Shortwave Direct Horizontal Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of solar irradiance incident on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_SW_DNI,Irradiancia directa normal descendente de onda corta en superficie con cielo total,All Sky Surface Shortwave Downward Direct Normal Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,"Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation","Direct Normal Irradiance (DNI),Beam Radiation,Beam Normal Irradiance,Direct Beam Irradiance,Pyrheliometer Irradiance,Direct Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI_HR,Irradiancia directa normal descendente de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Shortwave Downward Direct Normal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DNI_HR_MAX,Irradiancia directa normal descendente máxima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Maximum All Sky Surface Shortwave Downward Direct Normal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DNI_HR_MIN,Irradiancia directa normal descendente mínima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Minimum All Sky Surface Shortwave Downward Direct Normal Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DNI_MAX,Irradiancia directa normal descendente de onda corta en superficie con cielo total máximo,All Sky Surface Shortwave Downward Direct Normal Irradiance Maximum,"official,radiation","api,dav,aws","monthly,annual,climatology",The maximum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,,"Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related",
ALLSKY_SFC_SW_DNI_MAX_RD,Irradiancia directa normal descendente de onda corta en superficie con cielo total diferencia relativa máxima,All Sky Surface Shortwave Downward Direct Normal Irradiance Maximum Relative Difference,"official,radiation",api,climatology,The percentage of the difference of the maximum surface solar irradiance relative to the mean solar irradiance.,,Solar,
ALLSKY_SFC_SW_DNI_MIN,Irradiancia directa normal descendente de onda corta en superficie con cielo total mínimo,All Sky Surface Shortwave Downward Direct Normal Irradiance Minimum,"official,radiation","api,dav,aws","monthly,annual,climatology",The minimum direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,,"Solar,Parameters for Tilted PV Panels",
ALLSKY_SFC_SW_DNI_MIN_RD,Irradiancia directa normal descendente de onda corta en superficie con cielo total diferencia relativa mínima,All Sky Surface Shortwave Downward Direct Normal Irradiance Minimum Relative Difference,"official,radiation",api,climatology,The percentage of the difference of the minimum surface solar irradiance relative to the mean solar irradiance.,,Solar,
ALLSKY_SFC_SW_DNI_SD,Irradiancia directa normal descendente de onda corta en superficie con cielo total desviación estándar,All Sky Surface Shortwave Downward Direct Normal Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of direct solar irradiance incident to a horizontal plane normal (perpendicular) to the direction of the sun's position under all sky conditions.,,,
ALLSKY_SFC_SW_DWN,Irradiancia descendente de onda corta en superficie con cielo total,All Sky Surface Shortwave Downward Irradiance,"official,nrt,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology","The total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions. An alternative term for the total solar irradiance is the ""Global Horizontal Irradiance"" or GHI.","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Global Solar Radiation,Total Horizontal Solar Radiation,Hemispherical Solar Irradiance,Total Surface Solar Radiation","Global Horizontal Irradiance (GHI),Insolation,Incoming Solar Radiation,Global Solar Radiation,Total Horizontal Solar Radiation,Hemispherical Solar Irradiance,Total Surface Solar Radiation,Solar,Parameters for Tilted PV Panels,Solar Fluxes and Related,Parameters for Solar Cooking",
ALLSKY_SFC_SW_DWN_HR,Irradiancia descendente de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Shortwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation","api,dav","monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,Solar Fluxes and Related,
ALLSKY_SFC_SW_DWN_HR_MAX,Irradiancia descendente máxima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Maximum All Sky Surface Shortwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DWN_HR_MIN,Irradiancia descendente mínima climatológica de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),Climatological Minimum All Sky Surface Shortwave Downward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_DWN_MAX,Irradiancia descendente de onda corta en superficie con cielo total máximo,All Sky Surface Shortwave Downward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions.,"Insolation,Incoming Solar Radiation","Insolation,Incoming Solar Radiation,Solar",
ALLSKY_SFC_SW_DWN_MAX_RD,Irradiancia descendente de onda corta en superficie con cielo total diferencia relativa máxima,All Sky Surface Shortwave Downward Irradiance Maximum Relative Difference,"official,radiation",api,climatology,"The percentage of the difference of the maximum surface solar irradiance relative to the mean surface solar irradiance, under all sky conditions.",,Solar,
ALLSKY_SFC_SW_DWN_MIN,Irradiancia descendente de onda corta en superficie con cielo total mínimo,All Sky Surface Shortwave Downward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions.,"Insolation,Incoming Solar Radiation","Insolation,Incoming Solar Radiation,Solar",
ALLSKY_SFC_SW_DWN_MIN_RD,Irradiancia descendente de onda corta en superficie con cielo total diferencia relativa mínima,All Sky Surface Shortwave Downward Irradiance Minimum Relative Difference,"official,radiation",api,climatology,"The percentage of the difference of the minimum surface solar irradiance relative to the mean surface solar irradiance, under all sky conditions.",,Solar,
ALLSKY_SFC_SW_DWN_SD,Irradiancia descendente de onda corta en superficie con cielo total desviación estándar,All Sky Surface Shortwave Downward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation total solar irradiance incident (direct plus diffuse) on a horizontal plane at the surface of the earth under all sky conditions.,,,
ALLSKY_SFC_SW_UP,Irradiancia ascendente de onda corta en superficie con cielo total,All Sky Surface Shortwave Upward Irradiance,"official,radiation","api,gis,aws","hourly,daily,monthly,annual,climatology",The upward shortwave irradiance under all sky conditions.,"Reflected Solar Radiation,Upwelling Shortwave Radiation,Surface Reflected Shortwave,Reflected Shortwave Irradiance","Reflected Solar Radiation,Upwelling Shortwave Radiation,Surface Reflected Shortwave,Reflected Shortwave Irradiance,Solar",
ALLSKY_SFC_SW_UP_HR,Irradiancia ascendente de onda corta en superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface Shortwave Upward Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_SW_UP_MAX,Irradiancia ascendente de onda corta en superficie con cielo total máximo,All Sky Surface Shortwave Upward Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum upward shortwave irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_SW_UP_MIN,Irradiancia ascendente de onda corta en superficie con cielo total mínimo,All Sky Surface Shortwave Upward Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum upward shortwave irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_SW_UP_SD,Irradiancia ascendente de onda corta en superficie con cielo total desviación estándar,All Sky Surface Shortwave Upward Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of upward shortwave irradiance under all sky conditions.,,,
ALLSKY_SFC_UVA,Irradiancia UVA de superficie con cielo total,All Sky Surface UVA Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet A (UVA 315nm-400nm) irradiance under all sky conditions.,"Ultraviolet-A Irradiance (315-400 nm),UV-A Radiation,Near-Ultraviolet Irradiance,Long-Wave UV Radiation","Ultraviolet-A Irradiance (315-400 nm),UV-A Radiation,Near-Ultraviolet Irradiance,Long-Wave UV Radiation,Solar,Solar Fluxes and Related",
ALLSKY_SFC_UVA_HR,Irradiancia UVA de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface UVA Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_UVA_MAX,Irradiancia UVA de superficie con cielo total máximo,All Sky Surface UVA Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum ultraviolet A (UVA 315nm-400nm) irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_UVA_MIN,Irradiancia UVA de superficie con cielo total mínimo,All Sky Surface UVA Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum ultraviolet A (UVA 315nm-400nm) irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_UVA_SD,Irradiancia UVA de superficie con cielo total desviación estándar,All Sky Surface UVA Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of ultraviolet A (UVA 315nm-400nm) irradiance under all sky conditions.,,,
ALLSKY_SFC_UVB,Irradiancia UVB de superficie con cielo total,All Sky Surface UVB Irradiance,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet B (UVB 280nm-315nm) irradiance under all sky conditions.,"Ultraviolet-B Irradiance (280-315 nm),UV-B Radiation,Middle-Ultraviolet Irradiance","Ultraviolet-B Irradiance (280-315 nm),UV-B Radiation,Middle-Ultraviolet Irradiance,Solar,Solar Fluxes and Related",
ALLSKY_SFC_UVB_HR,Irradiancia UVB de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface UVB Irradiance (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_UVB_MAX,Irradiancia UVB de superficie con cielo total máximo,All Sky Surface UVB Irradiance Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum ultraviolet B (UVB 280nm-315nm) irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_UVB_MIN,Irradiancia UVB de superficie con cielo total mínimo,All Sky Surface UVB Irradiance Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum ultraviolet B (UVB 280nm-315nm) irradiance under all sky conditions.,,Solar,
ALLSKY_SFC_UVB_SD,Irradiancia UVB de superficie con cielo total desviación estándar,All Sky Surface UVB Irradiance Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of ultraviolet B (UVB 280nm-315nm) irradiance under all sky conditions.,,,
ALLSKY_SFC_UV_INDEX,Índice UV de superficie con cielo total,All Sky Surface UV Index,"official,radiation","api,dav,gis,aws","hourly,daily,monthly,annual,climatology",The ultraviolet radiation exposure index.,"UV Index (UVI),Global Solar UV Index","UV Index (UVI),Global Solar UV Index,Solar,Solar Fluxes and Related",
ALLSKY_SFC_UV_INDEX_HR,Índice UV de superficie con cielo total (conjunto de parámetros basado en horas),All Sky Surface UV Index (Hour-Based Parameter Set),"official,radiation",api,"monthly,annual,climatology",This is a API only data parameter listing to provide a set of data parameters.,,,
ALLSKY_SFC_UV_INDEX_MAX,Índice UV de superficie con cielo total máximo,All Sky Surface UV Index Maximum,"official,radiation","api,aws","monthly,annual,climatology",The maximum ultraviolet radiation exposure index.,,Solar,
ALLSKY_SFC_UV_INDEX_MIN,Índice UV de superficie con cielo total mínimo,All Sky Surface UV Index Minimum,"official,radiation","api,aws","monthly,annual,climatology",The minimum ultraviolet radiation exposure index.,,Solar,
ALLSKY_SFC_UV_INDEX_SD,Índice UV de superficie con cielo total desviación estándar,All Sky Surface UV Index Standard Deviation,"official,radiation","api,aws","monthly,annual,climatology",The standard deviation of ultraviolet radiation exposure index.,,,
