ID,Name,Tags,Services,Availability,Description,Keywords,Warnings_API_Original
subCruzPesc,Subsidio Pescadores,"official,aresep,historico_hidrocarburos,number",api,historico,Subsidio otorgado por ley en favor de la flota pesquera nacional no deportiva,"Subsidio Pescadores,subCruzPesc",Formato sugerido: {0:n}
subCruzMinae,Subsidio Política Sectorial,"official,aresep,historico_hidrocarburos,number",api,historico,Subsidio Política Sectorial,"Subsidio Política Sectorial,subCruzMinae",Formato sugerido: {0:n}
subPolGob,Subsidio cruzado políticas de gobierno,"official,aresep,historico_hidrocarburos,number",api,historico,Subsidio cruzado políticas de gobierno,"Subsidio cruzado políticas de gobierno,subPolGob",Formato sugerido: {0:n}
diferencialPrecios,Diferencial de precios,"official,aresep,historico_hidrocarburos,number",api,historico,Diferencial de precios,"Diferencial de precios,diferencialPrecios",Formato sugerido: {0:n}
liquidacionExtraordinaria,Liquidación extraordinaria,"official,aresep,historico_hidrocarburos,number",api,historico,Monto correspondiente por ajuste de liquidación de variables extraordinarias,"Liquidación extraordinaria,liquidacionExtraordinaria",Formato sugerido: {0:n}
impuestoUnico,Impuesto Único,"official,aresep,historico_hidrocarburos,number",api,historico,Impuesto único a los combustibles,"Impuesto Único,impuestoUnico",Formato sugerido: {0:n}
canon,Canon,"official,aresep,historico_hidrocarburos,number",api,historico,Canón regulatorio,"Canon,canon",Formato sugerido: {0:n}
margenOperacion,Margen de operación de Recope,"official,aresep,historico_hidrocarburos,number",api,historico,Margen de operación de Recope,"Margen de operación de Recope,margenOperacion",Formato sugerido: {0:n}
rendTarif,Rendimiento sobre Base Tarifaria,"official,aresep,historico_hidrocarburos,number",api,historico,Rendimiento sobre la Base Tarifaria,"Rendimiento sobre Base Tarifaria,rendTarif",Formato sugerido: {0:n}
liquidacionOrdinaria,Liquidación Ordinaria,"official,aresep,historico_hidrocarburos,number",api,historico,Monto correspondiente por ajuste de liquidación de variables ordinarias,"Liquidación Ordinaria,liquidacionOrdinaria",Formato sugerido: {0:n}
precioPlantelSinImpuesto,Precio en terminal sin impuesto,"official,aresep,historico_hidrocarburos,number",api,historico,Precio en terminal sin impuesto,"Precio en terminal sin impuesto,precioPlantelSinImpuesto",Formato sugerido: {0:n}
ley9840,Ley 9840,"official,aresep,historico_hidrocarburos,number",api,historico,Ley 9840,"Ley 9840,ley9840",Formato sugerido: {0:n}
precioConImpuesto,Precio en terminal con impuesto,"official,aresep,historico_hidrocarburos,number",api,historico,Precio en terminal con impuesto,"Precio en terminal con impuesto,precioConImpuesto",Formato sugerido: {0:n}
margenComercionalizador,Margen comercializador,"official,aresep,historico_hidrocarburos,number",api,historico,Margen comercializador,"Margen comercializador,margenComercionalizador",Formato sugerido: {0:n}
precioFinalSinPuntoFijo,Precio final sin punto fijo (Peddlers),"official,aresep,historico_hidrocarburos,number",api,historico,Precio final sin punto fijo (Peddlers),"Precio final sin punto fijo (Peddlers),precioFinalSinPuntoFijo",Formato sugerido: {0:n}
margenEstacionesTerrestres,Margen Estaciones Terrestres,"official,aresep,historico_hidrocarburos,number",api,historico,Margen estaciones de servicio terrestres,"Margen Estaciones Terrestres,margenEstacionesTerrestres",Formato sugerido: {0:n}
margenEstacionesAereas,Margen Estaciones Aéreas,"official,aresep,historico_hidrocarburos,number",api,historico,Margen estaciones de servicio aéreas,"Margen Estaciones Aéreas,margenEstacionesAereas",Formato sugerido: {0:n}
fleteEstaciones,Flete estaciones de servicio,"official,aresep,historico_hidrocarburos,number",api,historico,Flete estaciones de servicio,"Flete estaciones de servicio,fleteEstaciones",Formato sugerido: {0:n}
margenEnvasador,Margen Envasador,"official,aresep,historico_hidrocarburos,number",api,historico,Margen de envasador de GLP,"Margen Envasador,margenEnvasador",Formato sugerido: {0:n3}
precioFinalSinIVA,Precio estaciones de servicio sin IVA,"official,aresep,historico_hidrocarburos,number",api,historico,Precio Final Sin IVA,"Precio estaciones de servicio sin IVA,precioFinalSinIVA",Formato sugerido: {0:n}
IVA,IVA de Transportista,"official,aresep,historico_hidrocarburos,number",api,historico,IVA de Transportista,"IVA de Transportista,IVA",Formato sugerido: {0:n}
precioFinal,Precio final en estaciones de servicio,"official,aresep,historico_hidrocarburos,number",api,historico,Precio final en estaciones de servicio,"Precio final en estaciones de servicio
,precioFinal",Formato sugerido: {0:n}
margenDistribuidos,Margen Distribuidor y Agencias,"official,aresep,historico_hidrocarburos,number",api,historico,Margen distribuidor y agencias de GLP,"Margen Distribuidor y Agencias,margenDistribuidos",Formato sugerido: {0:n3}
margenDetallista,Margen Detallista,"official,aresep,historico_hidrocarburos,number",api,historico,Margen Detallista,"Margen Detallista,margenDetallista",Formato sugerido: {0:n3}
precioConsumidorFinalGas,Precio gas por litro en detallistas,"official,aresep,historico_hidrocarburos,number",api,historico,Precio consumidor final promedio por litro,"Precio gas por litro en detallistas
,precioConsumidorFinalGas",Formato sugerido: {0:n}
precioTerminal,Precio Terminal sin impuesto ni subsidio Sectorial,"official,aresep,historico_hidrocarburos,number",api,historico,Precio Terminal sin impuesto ni subsidio Sectorial,"Precio Terminal sin impuesto ni subsidio Sectorial,precioTerminal",Campo oculto en el grid; Formato sugerido: {0:n}
rige,Rige,"official,aresep,historico_hidrocarburos,string",api,historico,Rige o no rige la tarifa,"Rige,rige",
limiteInferiorBanda,Límite Inferior Banda,"official,aresep,historico_hidrocarburos,number",api,historico,Precio del límite inferior de la banda tarifaria,"Límite Inferior Banda,limiteInferiorBanda",Formato sugerido: {0:n}
limiteSuperiorBanda,Límite Superior Banda,"official,aresep,historico_hidrocarburos,number",api,historico,Precio del límite superior de la banda tarifaria,"Límite Superior Banda,limiteSuperiorBanda",Formato sugerido: {0:n}
densidadReferencia,Densidad de referencia expresado en kgs,"official,aresep,historico_hidrocarburos,number",api,historico,Densidad de referencia de combustible expresado en kilogramos por metro cúbico,"Densidad de referencia expresado en kgs,densidadReferencia",Formato sugerido: {0:n}
precioImpuestoMasa,Precio en terminal con impuesto masa,"official,aresep,historico_hidrocarburos,number",api,historico,Precio en terminal con impuesto,"Precio en terminal con impuesto masa,precioImpuestoMasa",Formato sugerido: {0:n}
precioFinalSinPuntoFijoMasa,Precio final sin punto fijo masa (Peddlers),"official,aresep,historico_hidrocarburos,number",api,historico,Precio final sin punto fijo masa (Peddlers),"Precio final sin punto fijo masa (Peddlers),precioFinalSinPuntoFijoMasa",Formato sugerido: {0:n}
margenComercializadorMasa,Margen de comercializador masa,"official,aresep,historico_hidrocarburos,number",api,historico,Margen de comercializador masa,"Margen de comercializador masa,margenComercializadorMasa",Formato sugerido: {0:n3}
idSIET,ID SIET,"official,aresep,historico_hidrocarburos,string",api,historico,Identificación en la base de datos del SIET,"ID SIET,idSIET",Campo oculto en el grid
observaciones,Observaciones,"official,aresep,historico_hidrocarburos,string",api,historico,observaciones,"Observaciones,observaciones",
